Threshold,Unweighted Precision,Weighted Precision,Unweighted Recall,Weighted Recall,Unweighted F1,Weighted F1
0.01,0.3782051282051282,0.002263669695520485,0.8309859154929577,1.0,0.5198237885462555,0.004517114136658608
0.05,0.6829268292682927,0.0047903360177728406,0.7887323943661971,0.971830985915493,0.7320261437908496,0.009533678756476684
0.1,0.75,0.007204301075268817,0.7605633802816901,0.9436619718309859,0.7552447552447552,0.014299434425354819
0.3,0.7619047619047619,0.0265914585012087,0.676056338028169,0.9295774647887324,0.7164179104477612,0.05170387779083431
0.5,0.8461538461538461,0.06557377049180328,0.6197183098591549,0.9014084507042254,0.7154471544715447,0.12225405921680993
0.7,0.8666666666666667,0.1254980079681275,0.5492957746478874,0.8873239436619719,0.6724137931034483,0.2198952879581152
