Threshold,TN,FP,FN,TP,Precision,Recall,F1 Score
0.01,11194,31294,0,71,0.002263669695520485,1.0,0.004517114136658608
0.05,28153,14335,2,69,0.0047903360177728406,0.971830985915493,0.009533678756476684
0.1,33255,9233,4,67,0.007204301075268817,0.9436619718309859,0.014299434425354819
0.3,40072,2416,5,66,0.0265914585012087,0.9295774647887324,0.05170387779083431
0.5,41576,912,7,64,0.06557377049180328,0.9014084507042254,0.12225405921680993
0.7,42049,439,8,63,0.1254980079681275,0.8873239436619719,0.2198952879581152
